query_id,query_snippet,jaccard_overlap,tfidf_avg_sim,emb_avg_sim,tfidf_top_k,emb_top_k
1,why doesnt join congress that will get liberty abuse modi bj,0.0,0.269793386216304,0.675964891910553,"['modi bjp ', 'abuse modi’ best defence via ', 'hindu terrorism modi bjp rss india shame them ', 'under modi bjp rss rule narrative responsibility opposition ', 'join modi muheem ']","['now its time for you actors vote the right person the right ', 'deep down right winger too just dont like modi congress engl', 'congress nothing but super thugs looters colonialism communi', 'hey governor asking vote for modi  know cant take any action', 'thats why need bjp our nation need modi congress bahot khela']"
2,doesnt bother about facts blissfully blinded his modi hate,0.1111111111111111,0.4698383235300037,0.7498108744621277,"['blinded modi hate that let the fiscal prudence the country d', 'lol\ndon’ bother\nmodi fever has affected his brain', 'you neednt bother about cheers your love affair with modi ', 'becoz not seeing the streets blinded modi hate', 'doesnt bother about facts blissfully blinded his modi hate']","['disagrees whatever modi does logic behind his statement', 'what was wrong his statement speaking truth then doesnt mean', 'doesnt bother about facts blissfully blinded his modi hate', 'lies modi exposed with facts', 'facts and truth doesn’ with modi julmlebaaz ']"
3,"narrative international publications
violence uttar pradesh ",0.0,0.30952644449521155,0.6067992448806763,"['the rail yatra will derail bjp uttar pradesh for sure ', 'address rallies gujarat uttar pradesh\nlive updates ', 'prime minister launches development projects ghaziabad uttar', 'modi launches various development projects kanpur uttar prad', 'nda 292 seats uttar pradesh delhi ']","['but modi has ruined unfortunately country becoming hindu ext', 'your politicans talks about jihad against india parliament t', 'who did attack modi and politicise chowkidar desperate antim', 'how rahul gandhi creates and modi chases narratives timeline', 'the only way modi can take back the narrative from terrorist']"
4,over any time its only concern over she may not get right mo,0.1111111111111111,0.393231927603233,0.723482608795166,"['jumlebaazi the right modi only ', 'may know concern rat belongs whom', 'nice right modi never again', 'over any time its only concern over she may not get right mo', 'good one right modi may remain but least will not sit and wa']","['there she goes again with her sole objective maligning the m', 'know many who likes modi any case ’ not fair assume that ’ u', 'over any time its only concern over she may not get right mo', 'dont worry she doesnt contest modi himself', 'genuinely dont get how she supports modi when she proclaims ']"
5,while sensible leaders the world immediately address the nat,0.0,0.29943085676749204,0.6201773881912231,"['attack modi ', 'with modione only chokidar the nation', 'modi promoting chori vikas for the nation', 'modi was busy shooting for film after pulawama attack now le', 'nation modi ']","['what shameful act narendra modi ', 'narendra modi became and despite biased vicious media politi', 'shabananiw you have forgotten freedom press and media really', 'modi should ashamed the world', 'how narendra modi has almost killed the indian media ']"
6,this incident shows congress has fallen badly for power they,0.0,0.2002403031346441,0.6858318448066711,"['modi for sure', 'vote for modi', 'how senseless and desperate congis can get back power they k', 'vote for modi ', 'congress ganta milega only modi ']","['the modi govt failure what you call the congress govts minus', 'yes its very clear negative performance modi govt should hav', 'problem for congress that they lack strong leader like modi ', 'this for congress understand modi had been bjp cheif and had', 'congress party really neglected its able and senior leaders ']"
7,rahul will now try destroy her satellites steal modis thunde,0.0,0.23872157700890234,0.6383360028266907,"['that modis will now become rahul alrightdont know what swamy', 'account will modi’ rahul will open another account with jija', 'india abusers are treated royally victims blamed nice going ', 'have mirav modi mallayaetc who steal and run why had steal r', 'modi favoured big businesses rahul will favour indias poor p']","['this promised rahul not modi will game changer ', 'please replace rahul with modi will make more sense', 'good thing modi coming power has been that least rahul wont ', 'world modis and rahuls this the news all need ', 'modi not doing anything rahul the only hope']"
8,everything disgusting about modi this election season jal ra,0.0,0.27345712241944814,0.6398102641105652,"['youre with modi youre with india not youre antiindia and tha', 'election season india\nmodi selling tshirts\nrahul gandhi sell', 'modi also doing same giving handouts farmers election season', 'that colluding with modi this election season disturb the co', 'this election rich poornot modi rahul']","['itsgazab yaha par joro attari chalu hui hai some places like', 'voters bhikhari samza hai kya  the othr thng our next will m', 'such ppl the reasonour and his family face filthy words from', 'modi will spend times the amount his election rally and publ', 'everytime these opposition leaders abuse modi the voters giv']"
9,hindoostan terrorism suggest you widen your horizen rather t,0.1111111111111111,0.3614485670760762,0.7273218631744385,"['first look behaviour hindutva terrorists india usa other sta', 'saying bjp spreading propaganda saying spreading propaganda\n', 'hindoostan terrorism suggest you widen your horizen rather t', 'while massacres and attacks muslims are ongoing indian rssbj', 'lol should focus development rather than jihadmodi now power']","['kashmiris are suffering from indian state terrorism have bee', 'hindoostan terrorism suggest you widen your horizen rather t', 'cant fool the world this but yourself the way modi inflicted', 'pakistan has islamic country and built islam thats whybecaus', 'well looks like you have been living under rock simply musli']"
10,are these morons stupid enough expect that modi shd have dec,0.0,0.2119062076664044,0.595905601978302,"['keeping elections mind this may add fuel the fire\nmodi wise ', 'show any one videotweetpress meetelection manifestoletter th', 'did these clowns the various channels ask the numbers the mo', 'actually this announcement gives big weapon modi test his co', '2019 test patriotism\nelections agenda modi ']","['lol ppl voted for modi against inc goons expecting modi save', 'the modi govt has nothing prove these dynasts whose only ach', 'this time tested sir same plank used modi more coarse and br', 'sir its not just stop modi test 2019 test common ppls true u', 'exactly the people who did not vote for modi are asking for ']"
